"","lonL","lonR","latB","latT","smaller","avgAAUs","factor","sideSquares","avgAAUs.1"
"42",-3.74374662497659,-3.73194424995318,40.4068627595992,40.4113642729548,FALSE,5.31287267103796e-05,48,4,12.375
"43",-3.74374662497659,-3.73194424995318,40.4023612462436,40.4068627595992,FALSE,5.31286248968551e-05,96,4,12.7
"44",-3.74374662497659,-3.73194424995318,40.397859732888,40.4023612462436,FALSE,5.31286287502537e-05,48,4,12.4
"45",-3.74374662497659,-3.73194424995318,40.3933582195324,40.397859732888,FALSE,5.31286252069609e-05,48,4,12.925
"46",-3.74374662497659,-3.73194424995318,40.3888567061768,40.3933582195324,FALSE,5.31286293056557e-05,48,4,12.5
"47",-3.74374662497659,-3.73194424995318,40.3843551928212,40.3888567061768,FALSE,5.31286244400136e-05,48,4,12.625
"48",-3.74374662497659,-3.73194424995318,40.38171,40.3843551928212,TRUE,3.1219602551661e-05,48,4,Inf
"49",-3.73194424995318,-3.72014187492977,40.4833884866444,40.48789,FALSE,5.31286941741457e-05,48,4,12.425
"50",-3.73194424995318,-3.72014187492977,40.4788869732888,40.4833884866444,FALSE,5.31327273574768e-05,96,4,12.825
"51",-3.73194424995318,-3.72014187492977,40.4743854599332,40.4788869732888,FALSE,5.31529539814625e-05,48,4,12.7
"52",-3.73194424995318,-3.72014187492977,40.4698839465776,40.4743854599332,FALSE,5.32582979485921e-05,48,4,12.075
"53",-3.73194424995318,-3.72014187492977,40.465382433222,40.4698839465776,FALSE,5.34605477977826e-05,96,4,12.55
"54",-3.73194424995318,-3.72014187492977,40.4608809198664,40.465382433222,FALSE,5.35537278228643e-05,48,4,12.475
"55",-3.73194424995318,-3.72014187492977,40.4563794065108,40.4608809198664,FALSE,5.3558269162346e-05,48,4,12.5
"56",-3.73194424995318,-3.72014187492977,40.4518778931552,40.4563794065108,FALSE,5.34999359456229e-05,48,4,12.575
"57",-3.73194424995318,-3.72014187492977,40.4473763797996,40.4518778931552,FALSE,5.33713291814469e-05,48,4,12.95
"58",-3.73194424995318,-3.72014187492977,40.442874866444,40.4473763797996,FALSE,5.34671811354242e-05,48,4,12.3
"59",-3.73194424995318,-3.72014187492977,40.4383733530884,40.442874866444,FALSE,5.36294590872821e-05,96,4,12.5
"60",-3.73194424995318,-3.72014187492977,40.4338718397328,40.4383733530884,FALSE,5.36801273866205e-05,96,4,12.825
"61",-3.73194424995318,-3.72014187492977,40.4293703263772,40.4338718397328,FALSE,5.36295184179171e-05,48,4,12.775
"62",-3.73194424995318,-3.72014187492977,40.4248688130216,40.4293703263772,FALSE,5.35108436178989e-05,48,4,12.8
"63",-3.73194424995318,-3.72014187492977,40.420367299666,40.4248688130216,FALSE,5.35655707849365e-05,48,4,12.325
"64",-3.73194424995318,-3.72014187492977,40.4158657863104,40.420367299666,FALSE,5.36581256502333e-05,48,4,12.375
"65",-3.73194424995318,-3.72014187492977,40.4113642729548,40.4158657863104,FALSE,5.35778332260541e-05,48,4,12.4
"66",-3.73194424995318,-3.72014187492977,40.4068627595992,40.4113642729548,FALSE,5.33511186282198e-05,48,4,12.35
"67",-3.73194424995318,-3.72014187492977,40.4023612462436,40.4068627595992,FALSE,5.31316215572489e-05,48,4,12.775
"68",-3.73194424995318,-3.72014187492977,40.397859732888,40.4023612462436,FALSE,5.31286281019356e-05,48,4,12.45
"69",-3.73194424995318,-3.72014187492977,40.3933582195324,40.397859732888,FALSE,5.31286292802848e-05,48,4,12.775
"70",-3.73194424995318,-3.72014187492977,40.3888567061768,40.3933582195324,FALSE,5.31286287520909e-05,48,4,12.3
"71",-3.73194424995318,-3.72014187492977,40.3843551928212,40.3888567061768,FALSE,5.31286287127339e-05,48,4,12.4
"72",-3.73194424995318,-3.72014187492977,40.38171,40.3843551928212,TRUE,3.12196046261107e-05,48,4,Inf
"73",-3.72014187492977,-3.70833949990636,40.4833884866444,40.48789,FALSE,5.31286492055071e-05,96,4,12.7
"74",-3.72014187492977,-3.70833949990636,40.4788869732888,40.4833884866444,FALSE,5.31539008448142e-05,48,4,12.35
"75",-3.72014187492977,-3.70833949990636,40.4743854599332,40.4788869732888,FALSE,5.35645345646103e-05,96,4,12.8
"76",-3.72014187492977,-3.70833949990636,40.4698839465776,40.4743854599332,FALSE,5.38864283527125e-05,48,4,12.25
"77",-3.72014187492977,-3.70833949990636,40.465382433222,40.4698839465776,FALSE,5.39713875530837e-05,48,4,12.275
"78",-3.72014187492977,-3.70833949990636,40.4608809198664,40.465382433222,FALSE,5.40331259121431e-05,48,4,12.6
"79",-3.72014187492977,-3.70833949990636,40.4563794065108,40.4608809198664,FALSE,5.40708216667777e-05,48,4,12.75
"80",-3.72014187492977,-3.70833949990636,40.4518778931552,40.4563794065108,FALSE,5.41986471982949e-05,48,4,12.2
"81",-3.72014187492977,-3.70833949990636,40.4473763797996,40.4518778931552,FALSE,5.47181781512636e-05,48,4,12.75
"82",-3.72014187492977,-3.70833949990636,40.442874866444,40.4473763797996,FALSE,5.46466763478452e-05,48,4,12.675
"83",-3.72014187492977,-3.70833949990636,40.4383733530884,40.442874866444,FALSE,5.41790927048816e-05,48,4,12.4
"84",-3.72014187492977,-3.70833949990636,40.4338718397328,40.4383733530884,FALSE,5.40750307004923e-05,48,4,12.575
"85",-3.72014187492977,-3.70833949990636,40.4293703263772,40.4338718397328,FALSE,5.42829741467808e-05,48,4,12.675
"86",-3.72014187492977,-3.70833949990636,40.4248688130216,40.4293703263772,FALSE,5.50082280399305e-05,48,4,12.4
"87",-3.72014187492977,-3.70833949990636,40.420367299666,40.4248688130216,FALSE,5.4917938421534e-05,48,4,12.5
"88",-3.72014187492977,-3.70833949990636,40.4158657863104,40.420367299666,FALSE,5.43582476374617e-05,48,4,12.825
