radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,214,7,2863,139493400,0,-3.7470245361328,40.26969909668,1000,1,1,1458599679,1440143014,0
UMTS,214,7,2863,139493399,0,-3.7525177001953,40.276565551758,1000,1,1,1458599679,1456772514,0
UMTS,214,7,2863,139482915,0,-3.7648773193359,40.254592895508,1000,1,1,1458599679,1452694147,0
UMTS,214,7,2863,139493175,0,-3.7566375732422,40.266952514648,1000,1,1,1458599679,1455787441,0
UMTS,214,7,2863,139493169,0,-3.7552642822266,40.268325805664,1000,1,1,1458599679,1455787441,0
UMTS,214,7,2863,139501731,0,-3.7648773193359,40.257339477539,1000,1,1,1458599680,1455787441,0
UMTS,214,7,2863,139501730,0,-3.7538909912109,40.271072387695,1000,1,1,1458599680,1455111873,0
UMTS,214,7,2863,139505641,0,-3.751831,40.274506,1000,6,1,1458599680,1487169087,0
UMTS,214,7,2863,139493170,0,-3.7538909912109,40.271072387695,1000,2,1,1458599679,1460980110,0
UMTS,214,7,2863,159149500,0,-3.7621307373047,40.258712768555,1000,1,1,1458599683,1443877027,0
UMTS,214,7,2863,73961757,0,-3.7635040283203,40.275192260742,1000,1,1,1458599678,1430648324,0
UMTS,214,7,2863,139479531,0,-3.754807,40.276566,1000,6,1,1458599679,1484291203,0
UMTS,214,7,2863,73961750,0,-3.7566375732422,40.273818969727,1000,1,1,1458599678,1433531977,0
UMTS,214,7,2863,139493407,0,-3.751831,40.269012,1000,2,1,1458599679,1462850604,0
UMTS,214,7,2863,139463427,0,-3.753204,40.261459,1000,2,1,1458599679,1466377575,0
UMTS,214,7,2863,237805661,0,-3.7621307373047,40.275192260742,1000,1,1,1458599693,1445164359,0
UMTS,214,7,2863,237779530,0,-3.77449,40.26503,1161,5,1,1458599688,1483040685,0
UMTS,214,7,2863,237801751,0,-3.766708,40.271988,1000,3,1,1458599692,1462850604,0
UMTS,214,7,2863,237801750,0,-3.755264,40.273647,1000,8,1,1458599692,1489154922,0
UMTS,214,7,2863,237800320,0,-3.7552642822266,40.276565551758,1000,1,1,1458599692,1455787441,0
UMTS,214,7,2863,237805660,0,-3.755264,40.273427,1000,7,1,1458599693,1491053977,0
UMTS,214,1,19668,8075625,0,-3.7401580810547,40.275192260742,1000,1,1,1458605371,1456214138,0
UMTS,214,1,19668,8072503,0,-3.764603,40.254044,1000,5,1,1458605371,1478879482,0
UMTS,214,1,19668,8089383,0,-3.7580108642578,40.265579223633,1000,2,1,1458605371,1485092472,0
UMTS,214,1,19668,8083818,0,-3.771057,40.259399,1000,2,1,1458605371,1466180676,0
UMTS,214,1,19668,8079660,0,-3.7470245361328,40.26969909668,1000,1,1,1458605371,1447251764,0
UMTS,214,1,19668,8074719,0,-3.751144,40.274506,1000,2,1,1458605371,1466180676,0
UMTS,214,1,19668,8072502,0,-3.762131,40.258255,1000,3,1,1458605371,1478879482,0
UMTS,214,1,19668,8090787,0,-3.7621307373047,40.258712768555,1000,1,1,1458605371,1451853954,0
UMTS,214,1,19668,8526547,0,-3.765701,40.257339,1000,5,1,1458605372,1466529971,0
UMTS,214,1,19568,8086233,0,-3.746337,40.260773,1000,2,1,1458605365,1462630592,0
UMTS,214,1,19668,8079659,0,-3.7415313720703,40.265579223633,1000,1,1,1458605371,1447251764,0
UMTS,214,1,19668,8061113,0,-3.7593841552734,40.264205932617,1000,1,1,1458605370,1451853954,0
UMTS,214,1,19668,8119348,0,-3.758926,40.264206,1000,3,1,1458605371,1478879441,0
UMTS,214,1,19668,8088118,0,-3.7580108642578,40.268325805664,1000,1,1,1458605371,1435252738,0
UMTS,214,1,19668,8540926,0,-3.741532,40.276566,1659,4,1,1458605374,1461434012,0
UMTS,214,1,19668,8553041,0,-3.765115,40.258591,2731,8,1,1458605376,1505226131,0
UMTS,214,1,19668,8540251,0,-3.7593841552734,40.265579223633,1000,1,1,1458605374,1453218418,0
LTE,214,3,1316,902155,0,-3.7635040283203,40.268325805664,1000,1,1,1458645058,1453116814,0
GSM,214,3,1156,8633,0,-3.768186,40.267514,2138,22,1,1458660970,1468952121,0
GSM,214,3,1156,2584,0,-3.739242,40.265579,2473,12,1,1458660969,1489796219,0
GSM,214,3,1156,2869,0,-3.751877,40.274735,1000,15,1,1458660969,1490756828,0
GSM,214,3,1156,13010,0,-3.751831,40.274506,1000,2,1,1458660971,1467523076,0
GSM,214,3,1156,13012,0,-3.751831,40.273819,1000,2,1,1458660971,1467523076,0
GSM,214,3,1158,2586,0,-3.7525177001953,40.272445678711,1000,1,1,1458660971,1426613936,0
LTE,214,4,28013,72216166,0,-3.750191,40.27622,1460,28,1,1458667016,1493787404,0
LTE,214,4,28013,72236391,0,-3.765766,40.259682,1000,17,1,1458667016,1490784422,0
LTE,214,4,28013,72269157,0,-3.764877,40.25371,1000,14,1,1458667017,1490784422,0
LTE,214,4,28013,72233063,0,-3.767624,40.264331,1000,11,1,1458667016,1489158250,0
LTE,214,4,28013,72233062,0,-3.74242,40.258067,1406,17,1,1458667016,1490784422,0
LTE,214,4,28013,72236389,0,-3.760945,40.261522,1000,22,1,1458667016,1490784422,0
LTE,214,4,28013,72236647,0,-3.765564,40.268497,1000,8,1,1458667017,1490287884,0
LTE,214,4,28014,72236134,0,-3.757262,40.274443,1000,11,1,1458667018,1490784422,0
GSM,214,1,16070,11558,0,-3.7635040283203,40.258712768555,1000,1,1,1458818038,1453889951,0
UMTS,214,4,21605,10769626,0,-3.7607574462891,40.275192260742,1000,1,1,1458818487,1449154941,0
UMTS,214,4,21605,10769637,0,-3.7689971923828,40.261459350586,1000,1,1,1458818487,1455375968,0
UMTS,214,4,21605,10771035,0,-3.7717437744141,40.262832641602,1000,1,1,1458818489,1456242968,0
UMTS,214,4,21605,10770918,0,-3.7621307373047,40.268325805664,1000,1,1,1458818489,1449512627,0
UMTS,214,4,21605,10770957,0,-3.7580108642578,40.266952514648,1000,1,1,1458818489,1441542523,0
UMTS,214,4,21605,11228378,0,-3.741188,40.266266,1233,4,1,1458818500,1479914184,0
UMTS,214,4,21605,237801750,0,-3.7525177001953,40.272445678711,1000,1,1,1458818508,1444596278,0
LTE,214,1,19668,11557,0,-3.7635040283203,40.255966186523,1000,1,1,1458820570,1442466427,0
LTE,214,1,19668,11556,0,-3.7593841552734,40.261459350586,1000,1,1,1458820570,1442466427,0
LTE,214,3,1158,778764,0,-3.7662506103516,40.254592895508,1000,1,1,1458820587,1437364527,0
LTE,214,3,1156,987925,0,-3.752111,40.274239,2425,25,1,1458820586,1505418027,0
LTE,214,3,1158,989195,0,-3.7635040283203,40.261459350586,1000,1,1,1458820587,1435379369,0
LTE,214,3,1158,778762,0,-3.7635040283203,40.255966186523,1000,1,1,1458820587,1426907381,0
LTE,214,3,1158,989194,0,-3.7580108642578,40.264205932617,1000,1,1,1458820587,1437222461,0
LTE,214,3,1256,994314,0,-3.751341,40.272249,1000,7,1,1458820596,1488377903,0
LTE,214,3,1256,155915,0,-3.762646,40.275993,1000,24,1,1458820596,1492338650,0
LTE,214,3,1256,994315,0,-3.757149,40.266386,2087,53,1,1458820596,1505656861,0
LTE,214,3,1256,989195,0,-3.762766,40.262654,1000,63,1,1458820596,1505883318,0
LTE,214,3,1256,994316,0,-3.753215,40.272311,2822,69,1,1458820596,1505656879,0
LTE,214,3,1256,989194,0,-3.7580108642578,40.265579223633,1000,49,1,1458820596,1492093910,0
LTE,214,3,1256,905228,0,-3.75594,40.274906,2967,125,1,1458820596,1505656903,0
LTE,214,3,1256,905227,0,-3.746681,40.258885,1285,8,1,1458820596,1491832400,0
LTE,214,3,1256,641290,0,-3.744278,40.276657,1000,45,1,1458820596,1492297132,0
LTE,214,3,1256,778765,0,-3.766432,40.25455,2710,69,1,1458820596,1505656803,0
UMTS,214,3,1156,7228429,0,-3.753233,40.275928,1000,20,1,1458824487,1506317525,0
UMTS,214,3,1156,7237465,0,-3.756756,40.266683,1049,16,1,1458824489,1506500859,0
UMTS,214,3,1156,7240195,0,-3.751144,40.272102,1000,8,1,1458824490,1489300981,0
UMTS,214,3,1156,7492925,0,-3.760659,40.260478,1000,14,1,1458824491,1490756828,0
UMTS,214,3,1156,7493276,0,-3.756013,40.269325,1000,11,1,1458824492,1483985273,0
UMTS,214,3,1158,7228374,0,-3.7607574462891,40.261459350586,1000,1,1,1458824494,1429793799,0
UMTS,214,3,1158,7243791,0,-3.7580108642578,40.265579223633,1000,1,1,1458824494,1427420564,0
UMTS,214,3,1156,7228427,0,-3.742676,40.273819,1000,12,1,1458824487,1490782823,0
