radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,214,1,19472,1705,0,-3.6728668212891,40.482559204102,1000,1,1,1322847309,1322715751,0
GSM,214,7,2836,1161,0,-3.700827,40.409845,1000,136,1,1343313593,1491110761,0
GSM,214,7,2836,1162,0,-3.698302,40.407072,1000,94,1,1343313593,1491110761,0
GSM,214,7,2836,1164,0,-3.700218,40.408859,1000,60,1,1343313593,1488214003,0
GSM,214,7,2836,1163,0,-3.702018,40.407892,1000,132,1,1343313593,1491110761,0
GSM,214,7,2836,781,0,-3.698127,40.407235,833,158,1,1343313593,1493811379,0
GSM,214,7,2836,1691,0,-3.70148,40.409206,1000,152,1,1343313593,1491110761,0
GSM,214,7,2836,1166,0,-3.699167,40.408845,1000,99,1,1343313593,1488896442,0
GSM,214,7,2836,1165,0,-3.698841,40.408385,1000,81,1,1343313593,1488896442,0
GSM,214,7,2836,884,0,-3.699371,40.407234,1000,60,1,1343313593,1489168042,0
GSM,214,7,2836,881,0,-3.698883,40.406265,3698,54,1,1343313601,1491621820,0
GSM,214,7,2819,81,0,-3.712349,40.422581,1000,120,1,1343335418,1492266790,0
GSM,214,7,2816,1312,0,-3.7113189697266,40.42350769043,1000,5,1,1343335418,1252219848,0
GSM,214,7,2819,971,0,-3.711798,40.421222,1000,152,1,1343335418,1289575318,0
GSM,214,7,2819,454,0,-3.710188,40.4227,1000,17,1,1343335418,1252220117,0
GSM,214,7,2816,454,0,-3.71019,40.423325,1000,45,1,1343335418,1491674015,0
GSM,214,7,2816,3832,0,-3.711777,40.423737,1000,6,1,1343335418,1384246478,0
GSM,214,7,2819,974,0,-3.710162,40.420858,1000,114,1,1343335423,1384246478,0
GSM,214,7,2816,2083,0,-3.707808,40.421804,1000,79,1,1343335424,1491674015,0
GSM,214,7,2819,1312,0,-3.712356,40.424711,1000,37,1,1343335424,1506420124,0
GSM,214,7,2816,6906,0,-3.702049,40.421219,1000,12,1,1343335424,1379655765,0
GSM,214,7,2816,2046,0,-3.711319,40.422821,1000,2,1,1343335424,1252219908,0
GSM,214,7,2819,6906,0,-3.710251,40.422897,1000,9,1,1343335424,1384246478,0
GSM,214,7,2819,1311,0,-3.711456,40.427216,1000,20,1,1343335424,1487033890,0
GSM,214,7,2819,3832,0,-3.712367,40.426327,1000,38,1,1343335424,1488036756,0
GSM,214,7,2816,85,0,-3.707714,40.421791,1000,8,1,1343335424,1384246478,0
GSM,214,7,2816,1311,0,-3.701706,40.424424,1410,3,1,1343335424,1467220327,0
GSM,214,7,2816,456,0,-3.710207,40.423312,1000,21,1,1343335430,1491674015,0
GSM,214,7,2816,3461,0,-3.708989,40.422093,1000,33,1,1343335430,1443813791,0
GSM,214,7,2816,974,0,-3.709946,40.42305,1000,3,1,1343335430,1252220038,0
GSM,214,7,2819,3461,0,-3.708572,40.422134,1000,2,1,1343335436,1384246478,0
GSM,214,7,2819,6903,0,-3.712006,40.420075,1000,2,1,1343335441,1384246478,0
GSM,214,7,2816,2086,0,-3.707262,40.421385,1000,22,1,1343335441,1487877821,0
GSM,214,7,2820,1331,0,-3.707842,40.406914,1000,156,1,1343337233,1491110761,0
GSM,214,7,2836,883,0,-3.705571,40.406377,1000,97,1,1343337233,1491621820,0
